timestamp,episode,stage,reward,success,completed_agents,phase_changes,phase_label,mean_phase,centroid_error,formation_error,max_agent_formation_error,mean_dist_to_target,max_dist_to_target,mean_speed,max_speed,mean_attitude_error,smoothness_cost,collision_count,min_pair_dist,crashed,landed,centroid_x,centroid_y,centroid_z,uav0_x,uav1_x,uav2_x,uav0_y,uav1_y,uav2_y,uav0_z,uav1_z,uav2_z,wandb_url
2026-05-16T21:06:03.201777,1,1,9497.915568535836,0,0,0,MOVE_FORMATION_TO_B,1.0,0.14857017993927002,0.007099386304616928,0.01050636824220419,0.14872044324874878,0.1523531973361969,0.42638424038887024,0.4391230344772339,0.017595089972019196,0.1295023411512375,0,0.5859504342079163,0,0,1.1123740673065186,-0.0025518338661640882,1.0067421197891235,1.10873281955719,1.1170169115066528,1.111372470855713,-0.007289564236998558,-0.5931802988052368,0.5928143858909607,1.0065789222717285,1.0077427625656128,1.0059045553207397,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/s11jaeoq
2026-05-16T21:06:09.957145,2,1,9525.678910945015,0,0,0,MOVE_FORMATION_TO_B,1.0,0.10706363618373871,0.007004691753536463,0.010319102555513382,0.10707863420248032,0.11272729933261871,0.41714194416999817,0.42406171560287476,0.01186285074800253,0.08906784653663635,0,0.5975583791732788,0,0,1.153887152671814,-0.002695878269150853,1.005618929862976,1.1493442058563232,1.1640576124191284,1.1482596397399902,-0.0006120237521827221,-0.6044199466705322,0.5969443321228027,1.005208134651184,1.0053483247756958,1.006300449371338,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/s11jaeoq
2026-05-16T21:06:16.980059,3,1,9539.092905935779,0,0,0,MOVE_FORMATION_TO_B,1.0,0.08425995707511902,0.004589378368109465,0.006416838616132736,0.08430283516645432,0.0898418202996254,0.3970843553543091,0.4110014736652374,0.01119620818644762,0.10008899122476578,0,0.5967258810997009,0,0,1.1767191886901855,-0.0028916795272380114,1.0051928758621216,1.1712453365325928,1.1800298690795898,1.178882360458374,-0.006142931059002876,-0.6028040051460266,0.6002718806266785,1.0043915510177612,1.004794955253601,1.0063921213150024,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/s11jaeoq
2026-05-16T21:06:23.990099,4,1,9547.46907539765,0,0,0,MOVE_FORMATION_TO_B,1.0,0.06679895520210266,0.003956838045269251,0.0054095154628157616,0.06688769906759262,0.06897816061973572,0.4108870327472687,0.4436579644680023,0.01737198978662491,0.05752075836062431,0,0.595378577709198,0,0,1.1942371129989624,-0.00197215867228806,1.005629062652588,1.1976001262664795,1.1919902563095093,1.1931211948394775,-0.006170927546918392,-0.6015231013298035,0.6017775535583496,1.0050604343414307,1.0050116777420044,1.006814956665039,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/s11jaeoq
2026-05-16T21:06:31.309962,5,1,9550.056217853338,0,0,0,MOVE_FORMATION_TO_B,1.0,0.056798651814460754,0.004234067630022764,0.006194570567458868,0.05682985484600067,0.061970941722393036,0.4113391637802124,0.44244274497032166,0.008618787862360477,0.08842452615499496,0,0.5989204049110413,0,0,1.2044755220413208,-0.005171298980712891,1.0055100917816162,1.1991543769836426,1.2103465795516968,1.203925371170044,-0.0037030326202511787,-0.6070087552070618,0.5951979160308838,1.0055038928985596,1.0047839879989624,1.0062425136566162,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/s11jaeoq
2026-05-16T21:09:22.073787,1,1,23159.117386379356,1,3,0,LAND_FORMATION_B,2.0,0.1281953752040863,0.0033947713673114777,0.004176501650363207,0.1282341033220291,0.13017407059669495,0.271712064743042,0.27335280179977417,0.020583024248480797,0.06813285499811172,0,0.5931993722915649,0,1,2.28108811378479,0.006886402610689402,0.21592730283737183,2.2801291942596436,2.279528856277466,2.28360652923584,0.010942952707409859,-0.5944157242774963,0.6041319966316223,0.21618814766407013,0.21502840518951416,0.21656538546085358,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
2026-05-16T21:09:37.061051,2,1,23170.71324555407,1,3,0,LAND_FORMATION_B,2.0,0.14594139158725739,0.004318355116993189,0.004949046764522791,0.14598113298416138,0.14854680001735687,0.27220550179481506,0.272325724363327,0.01806311309337616,0.11841114610433578,0,0.5957918167114258,0,1,2.307121515274048,-0.0012212395668029785,0.21598297357559204,2.3104288578033447,2.308370590209961,2.302565574645996,0.002453962806612253,-0.604310929775238,0.5981932282447815,0.21620076894760132,0.21643824875354767,0.21530991792678833,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
2026-05-16T21:09:54.617698,3,1,23180.971889580214,1,3,0,LAND_FORMATION_B,2.0,0.1518811732530594,0.005582543555647135,0.008369013667106628,0.15198568999767303,0.1551324427127838,0.27188417315483093,0.27305868268013,0.013410612940788269,0.06691402941942215,0,0.6025621294975281,0,1,2.314990282058716,-2.880891088352655e-06,0.2160976678133011,2.3133773803710938,2.311523914337158,2.3200697898864746,-0.00199372717179358,-0.6045524477958679,0.6065375208854675,0.21629168093204498,0.21711309254169464,0.21488824486732483,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
2026-05-16T21:10:09.303163,4,1,23184.021146465457,1,3,0,LAND_FORMATION_B,2.0,0.15346722304821014,0.00346424151211977,0.005004901438951492,0.15349522233009338,0.15574944019317627,0.26961275935173035,0.26977160573005676,0.009930814616382122,0.11517653614282608,0,0.5965224504470825,0,1,2.317345380783081,-0.0038846731185913086,0.21570400893688202,2.3185524940490723,2.319486618041992,2.3139970302581787,-0.0038127934094518423,-0.6005306839942932,0.5926894545555115,0.21607966721057892,0.21677778661251068,0.21425458788871765,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
2026-05-16T21:10:25.482549,5,1,23183.471345350426,1,3,0,LAND_FORMATION_B,2.0,0.14917191863059998,0.0021231535356491804,0.002979031065478921,0.1491742581129074,0.15173622965812683,0.27259525656700134,0.27777883410453796,0.012985080480575562,0.10061580687761307,0,0.5987098217010498,0,1,2.3119590282440186,0.0013747811317443848,0.21544253826141357,2.31178617477417,2.3142507076263428,2.309840440750122,0.0016969738062471151,-0.5979712009429932,0.600398600101471,0.21603037416934967,0.21670764684677124,0.2135896384716034,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
2026-05-16T21:10:44.861015,6,1,23184.15245026919,1,3,0,LAND_FORMATION_B,2.0,0.15434859693050385,0.005189850460737944,0.007471458055078983,0.15441034734249115,0.1593739539384842,0.2726351320743561,0.27347829937934875,0.014735988341271877,0.06852195411920547,0,0.5940659642219543,0,1,2.3179616928100586,0.009589175693690777,0.21595370769500732,2.324674367904663,2.313129425048828,2.3160810470581055,0.0063085234723985195,-0.5876437425613403,0.6101027727127075,0.21595363318920135,0.21730005741119385,0.21460740268230438,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-4-straight-line-landing/runs/842l7m81
