timestamp,episode,stage,reward,success,completed_agents,phase_changes,phase_label,mean_phase,centroid_error,formation_error,triangle_spacing_error,spacing_uav0_uav1,spacing_uav0_uav2,spacing_uav1_uav2,max_agent_formation_error,mean_dist_to_target,max_dist_to_target,mean_speed,max_speed,mean_attitude_error,smoothness_cost,collision_count,min_pair_dist,crashed,landed,centroid_x,centroid_y,centroid_z,uav0_x,uav1_x,uav2_x,uav0_y,uav1_y,uav2_y,uav0_z,uav1_z,uav2_z,wandb_url
2026-05-29T07:15:41.770920,1,1,27722.384557591904,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.13246075809001923,0.005039049778133631,0.008212924003601074,1.0069512128829956,1.0072672367095947,1.010420322418213,0.007072745822370052,0.13256315886974335,0.13356822729110718,0.2763577699661255,0.28121790289878845,0.007815071381628513,0.08658836036920547,0,1.0069512128829956,0,1,2.493121862411499,0.005323430057615042,0.21655237674713135,3.073930501937866,2.2054309844970703,2.2000038623809814,0.008233786560595036,-0.5013339519500732,0.5090704560279846,0.21609672904014587,0.21594327688217163,0.21761709451675415,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:15:57.177692,2,1,27703.45662910597,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.15259802341461182,0.005188820417970419,0.004227161407470703,0.9966498613357544,0.9966839551925659,1.0060153007507324,0.00663004070520401,0.15264058113098145,0.15611976385116577,0.27167245745658875,0.27314016222953796,0.014433019794523716,0.1342126578092575,0,0.9966498613357544,0,1,2.521766185760498,0.00854299496859312,0.21970118582248688,3.095378875732422,2.2362449169158936,2.2336745262145996,0.009986905381083488,-0.4951848089694977,0.5108268857002258,0.21866397559642792,0.21984443068504333,0.22059518098831177,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:16:12.565306,3,1,27777.12060703234,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.15566538274288177,0.006639732513576746,0.007989704608917236,0.9897212386131287,1.0086147785186768,0.9949244260787964,0.008786181919276714,0.15576492249965668,0.16143471002578735,0.2738162577152252,0.2746495008468628,0.01584540493786335,0.10191114991903305,0,0.9897212386131287,0,1,2.5252017974853516,0.005900273565202951,0.21481160819530487,3.10288667678833,2.2419159412384033,2.230802536010742,-0.00029627824551425874,-0.48843252658843994,0.5064296126365662,0.21411682665348053,0.2148340493440628,0.2154839187860489,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:16:28.508545,4,1,27772.21290578277,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.16238215565681458,0.0057253590784966946,0.008018871148427328,1.0061547756195068,1.0126615762710571,0.994759738445282,0.008488344959914684,0.16243064403533936,0.16699449717998505,0.2735591232776642,0.2737998962402344,0.009944858960807323,0.09228652715682983,0,0.994759738445282,0,1,2.5332188606262207,0.00849096942692995,0.2149587869644165,3.1187949180603027,2.2454264163970947,2.2354350090026855,0.009970871731638908,-0.48960375785827637,0.5051057934761047,0.21482400596141815,0.21503376960754395,0.21501855552196503,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:16:43.187576,5,1,27778.257367127,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.1618429720401764,0.0065659224055707455,0.007068892319997151,0.993080198764801,1.0100053548812866,1.0042815208435059,0.009069464169442654,0.16197259724140167,0.16495388746261597,0.27295389771461487,0.2782064378261566,0.017762713134288788,0.08712685108184814,0,0.993080198764801,0,1,2.532555341720581,0.01020088791847229,0.2147940844297409,3.110229253768921,2.2458932399749756,2.2415432929992676,0.0014501902041956782,-0.48755982518196106,0.5167123079299927,0.2142743319272995,0.2151719629764557,0.21493592858314514,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:16:59.698256,6,1,27777.47224565742,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.15940240025520325,0.004206928890198469,0.0028843283653259277,1.0014948844909668,0.9948550462722778,0.9979868531227112,0.00612527783960104,0.15941844880580902,0.16471247375011444,0.2751298248767853,0.2789975702762604,0.013343787752091885,0.07346038520336151,0,0.9948550462722778,0,1,2.529764175415039,0.011637250892817974,0.2143421620130539,3.106100082397461,2.237405300140381,2.2457869052886963,0.011224783957004547,-0.4871322810649872,0.5108192563056946,0.21333156526088715,0.2145930975675583,0.21510180830955505,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:17:16.622976,7,1,27780.172533435838,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.16262151300907135,0.0032492103055119514,0.0016909440358479817,1.00083327293396,1.000637412071228,0.996397852897644,0.0035675729159265757,0.16264353692531586,0.16524462401866913,0.272337406873703,0.27622395753860474,0.011682911776006222,0.08221175521612167,0,0.996397852897644,0,1,2.53395676612854,0.0070669748820364475,0.21443162858486176,3.1125566959381104,2.2468810081481934,2.2424323558807373,0.00978169310837984,-0.49248433113098145,0.5039035677909851,0.2134680151939392,0.2147655189037323,0.21506135165691376,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:17:35.344859,8,1,27776.674265122583,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.16196899116039276,0.0038067104760557413,0.0034548242886861167,0.9967734217643738,1.006556510925293,1.0005813837051392,0.005476744379848242,0.16201122105121613,0.1638634353876114,0.2747931182384491,0.27557116746902466,0.008560593239963055,0.07221704721450806,0,0.9967734217643738,0,1,2.5322353839874268,0.010271240957081318,0.21546389162540436,3.1107406616210938,2.244096040725708,2.2418699264526367,0.005029073916375637,-0.48739710450172424,0.513181746006012,0.2149343192577362,0.21583104133605957,0.2156263142824173,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:17:50.839823,9,1,27776.35092072693,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.15776991844177246,0.0014826598344370723,0.002140601476033529,1.0041191577911377,1.000960111618042,1.001342535018921,0.0018640338676050305,0.15777473151683807,0.15891824662685394,0.27428939938545227,0.2749463617801666,0.01628166437149048,0.10602659732103348,0,1.000960111618042,0,1,2.5276546478271484,0.008561511524021626,0.2148166447877884,3.1067001819610596,2.2376039028167725,2.2386600971221924,0.010059602558612823,-0.4928584694862366,0.5084834098815918,0.21425141394138336,0.21480263769626617,0.21539592742919922,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
2026-05-29T07:18:07.414933,10,2,27778.481570383537,1,3,0,LAND_TRIANGLE_FORMATION_B,2.0,0.1602635532617569,0.006589619442820549,0.008844375610351562,0.9928986430168152,0.9934573173522949,0.9871109127998352,0.007109496742486954,0.1603614240884781,0.16382881999015808,0.27363646030426025,0.2751460373401642,0.01389953214675188,0.0619799979031086,0,0.9871109127998352,0,1,2.5307540893554688,0.004778414964675903,0.21504710614681244,3.1053273677825928,2.244595527648926,2.2423393726348877,0.005717072635889053,-0.48924508690834045,0.4978632628917694,0.21435178816318512,0.21528089046478271,0.21550865471363068,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-6-triangle-formation-landing/runs/kkqpmpnf
