timestamp,episode,stage,reward,success,phase,phase_name,center_error,mean_dist_to_target,formation_error,spacing_error,mean_speed,mean_ref_speed,mean_cmd_speed,mean_correction,action_smoothness,collision_count,min_pair_dist,crashed,progress,formation_safe,centroid_x,centroid_y,centroid_z
2026-06-14T10:17:13.354922,1,1,-75505.03259731333,1,2,triangle_to_goal,0.2083660364151001,0.2087385207414627,0.2087385207414627,0.047017176946004234,0.5883315205574036,0.2137691229581833,0.21744413673877716,0.24190543591976166,0.071290023624897,0,1.083162784576416,0,0.012235462665557861,1,6.792154788970947,-0.004850784782320261,1.0139012336730957
2026-06-14T10:17:19.820251,2,1,-50514.08023801318,1,2,triangle_to_goal,0.18297407031059265,0.18316034972667694,0.18316034972667694,0.031128724416097004,0.7187051773071289,0.1981211155653,0.20420359075069427,0.2730199098587036,0.08525999635457993,0,1.1614376306533813,0,0.014915689826011658,1,6.8176398277282715,-0.0024644136428833008,1.014771819114685
2026-06-14T10:17:25.596786,3,1,-42265.80045316631,1,2,triangle_to_goal,0.15773680806159973,0.1579541712999344,0.1579541712999344,0.04688680171966553,0.8135399222373962,0.17486672103405,0.1785818487405777,0.232656791806221,0.07991588860750198,0,1.2177155017852783,0,0.016855716705322266,1,6.843263149261475,-0.009246726520359516,1.0151314735412598
2026-06-14T10:17:36.647894,4,1,-16177.968282860313,0,1,start_hover,0.39087846875190735,0.39090028405189514,0.39090028405189514,0.004859328269958496,0.02720380574464798,0.11814389377832413,0.11218475550413132,0.1992325335741043,0.09519732743501663,0,1.1914364099502563,0,0.0,0,0.390699177980423,0.0020153324585407972,1.0116647481918335
2026-06-14T10:17:43.216650,5,1,-55815.24982640573,1,2,triangle_to_goal,0.18489113450050354,0.18504206836223602,0.18504206836223602,0.034182985623677574,0.6773037314414978,0.19917511940002441,0.20428578555583954,0.26236799359321594,0.050448205322027206,0,1.2148164510726929,0,0.014082148671150208,1,6.815698146820068,-0.004392246250063181,1.0140806436538696
2026-06-14T10:17:49.040312,6,1,-44155.10373075296,1,2,triangle_to_goal,0.15824352204799652,0.1585991382598877,0.1585991382598877,0.04095975557963053,0.7935411334037781,0.17502324283123016,0.17997078597545624,0.21629326045513153,0.07937189936637878,0,1.2131603956222534,0,0.016476020216941833,1,6.842573165893555,-0.007216254714876413,1.01434326171875
2026-06-14T10:18:01.736198,7,1,-17976.807753421086,0,1,start_hover,0.3888256847858429,0.3888891935348511,0.3888891935348511,0.01340500513712565,0.02529832161962986,0.1176445409655571,0.1081554964184761,0.2584584057331085,0.06509191542863846,0,1.2043107748031616,0,0.0,0,0.38862502574920654,0.005688866134732962,1.0111192464828491
2026-06-14T10:18:11.774852,8,1,-56804.58238147341,1,2,triangle_to_goal,0.1854405254125595,0.18556638062000275,0.18556638062000275,0.032114903132120766,0.6660223603248596,0.19947178661823273,0.2043357640504837,0.2295355349779129,0.0723511204123497,0,1.1534368991851807,0,0.013838663697242737,1,6.815149784088135,-0.0048431954346597195,1.013968825340271
2026-06-14T10:18:21.584138,9,1,-45032.597268369405,1,2,triangle_to_goal,0.16709323227405548,0.16717387735843658,0.16717387735843658,0.011686921119689941,0.7911257743835449,0.1837068796157837,0.18888409435749054,0.27140650153160095,0.05159158632159233,0,1.1821949481964111,0,0.01642201840877533,1,6.833909511566162,-0.011221587657928467,1.0144282579421997
2026-06-14T10:18:36.106866,10,1,-15780.590648774403,0,1,start_hover,0.3713076412677765,0.37134552001953125,0.37134552001953125,0.019224246342976887,0.027550265192985535,0.11219952255487442,0.10311991721391678,0.2329459935426712,0.08125703781843185,0,1.1939109563827515,0,0.00025787949562072754,1,0.37113484740257263,0.003126720665022731,1.0108871459960938
2026-06-14T10:18:48.233669,11,1,-57363.82588064666,1,2,triangle_to_goal,0.19382666051387787,0.1939350962638855,0.1939350962638855,0.03058902422587077,0.6749904751777649,0.20424668490886688,0.20856331288814545,0.2682398855686188,0.09743281453847885,0,1.1731626987457275,0,0.014006555080413818,1,6.806903839111328,-0.007985214702785015,1.0147947072982788
2026-06-14T10:18:55.364686,12,1,-45264.05572810368,1,2,triangle_to_goal,0.17049972712993622,0.17062656581401825,0.17062656581401825,0.03500866889953613,0.7681067585945129,0.18666525185108185,0.19050924479961395,0.268655002117157,0.0789332166314125,0,1.1994396448135376,0,0.015940964221954346,1,6.8302741050720215,-0.006258845329284668,1.0149701833724976
2026-06-14T10:19:11.204334,13,1,-16553.292223460776,0,1,start_hover,0.3756270408630371,0.375636488199234,0.375636488199234,0.0022914807001749673,0.011496956460177898,0.11346068233251572,0.10480663180351257,0.24760781228542328,0.06912732124328613,0,1.1985481977462769,0,0.000156402587890625,1,0.37543824315071106,0.004594822879880667,1.0109859704971313
2026-06-14T10:19:20.970800,14,1,-57201.74827210868,1,2,triangle_to_goal,0.20024515688419342,0.20029737055301666,0.20029737055301666,0.027803619702657063,0.665263831615448,0.21417336165905,0.21791450679302216,0.2688809335231781,0.058084916323423386,0,1.1944242715835571,0,0.013768404722213745,1,6.800872325897217,-0.015194952487945557,1.0146766901016235
2026-06-14T10:19:27.381310,15,1,-45163.10116097507,1,2,triangle_to_goal,0.17178404331207275,0.17186933755874634,0.17186933755874634,0.018452962239583332,0.7688947319984436,0.18792633712291718,0.19087755680084229,0.27441585063934326,0.08336209505796432,0,1.2103817462921143,0,0.015940159559249878,1,6.829061508178711,-0.008369664661586285,1.01482355594635
2026-06-14T10:19:38.893527,16,1,-17549.199523172916,0,1,start_hover,0.39343351125717163,0.39350417256355286,0.39350417256355286,0.0200730562210083,0.025780299678444862,0.11887817829847336,0.10845503211021423,0.2786872088909149,0.07859065383672714,0,1.1913652420043945,0,0.0,0,0.39327922463417053,0.00014879305672366172,1.0110158920288086
2026-06-14T10:19:45.807270,17,1,-57297.6136224858,1,2,triangle_to_goal,0.19208653271198273,0.1921759694814682,0.1921759694814682,0.03140107790629069,0.6626207828521729,0.20602940022945404,0.20959746837615967,0.24860811233520508,0.06380840390920639,0,1.1337428092956543,0,0.013756021857261658,1,6.808543682098389,-0.005002101417630911,1.0147205591201782
