timestamp,episode,stage,stage_name,reward,success,phase,phase_name,center_error,formation_error,spacing_error,mean_speed,mean_cmd_speed,mean_correction,collision_count,min_pair_dist,min_obstacle_margin,obstacle_collision_count,episode_obstacle_collision_count,obstacle_near_miss_count,episode_near_miss_count,max_spacing_during_danger,max_shape_error_during_danger,obstacle_clear,crashed,formation_safe
2026-07-06T01:18:33.868783,1,4,soft_center_range_marl,-28364.36182292307,0,2,triangle_to_goal_obstacle,0.304354727268219,0.42126432061195374,0.6304044723510742,0.29566049575805664,0.13723497092723846,0.3835859000682831,0,1.3433328866958618,2.4706335163116453,0,0,0,131,0.5293769836425781,0.3689855635166168,1,0,0
2026-07-06T01:18:38.231486,2,4,soft_center_range_marl,-15917.540228053276,0,4,landing,0.7071006894111633,0.09415299445390701,0.10574301083882649,0.2508144676685333,0.1825505495071411,0.17687737941741943,0,1.0011790990829468,3.746361026763916,0,0,0,91,0.5763777097066244,0.3938111364841461,1,0,1
2026-07-06T01:18:42.003486,3,4,soft_center_range_marl,4714.29568439469,1,4,landing,0.8528099060058594,0.16005127131938934,0.19768881797790527,0.16683261096477509,0.14963030815124512,0.18439459800720215,0,0.8379942178726196,3.991760501861572,0,0,0,83,0.2150521675745646,0.17673473060131073,1,0,1
2026-07-06T01:18:45.520189,4,4,soft_center_range_marl,47249.02708599301,1,4,landing,0.8991554379463196,0.18981103599071503,0.23405865828196207,0.1912408471107483,0.1496841460466385,0.1705635040998459,0,0.8002200126647949,4.058389434814453,0,0,0,77,0.06377490361531575,0.07807726413011551,1,0,1
2026-07-06T01:18:49.082156,5,4,soft_center_range_marl,-7175.368294503599,1,4,landing,1.0835500955581665,0.31101083755493164,0.3402160008748372,0.20755089819431305,0.15309099853038788,0.17789186537265778,0,0.6523323655128479,4.271921405792236,0,0,0,72,0.26852162679036456,0.22236482799053192,1,0,0
2026-07-06T01:18:52.416589,6,4,soft_center_range_marl,-3512.641776494904,1,4,landing,1.1217213869094849,0.3311871290206909,0.35506494839986164,0.21187622845172882,0.15266744792461395,0.17331767082214355,0,0.6417040824890137,4.378602752685547,0,0,0,68,0.2764845887819926,0.22851347923278809,1,0,0
2026-07-06T01:18:56.928049,7,4,soft_center_range_marl,-32978.3882712801,0,2,triangle_to_goal_obstacle,1.276423454284668,0.47533118724823,0.39983584483464557,0.0228741317987442,0.14276404678821564,0.15060031414031982,0,0.5867947936058044,4.555882225036621,0,0,0,68,0.3595258792241414,0.33891716599464417,1,0,0
2026-07-06T01:19:00.645364,8,4,soft_center_range_marl,44597.00492992714,1,4,landing,0.8285427689552307,0.1501297950744629,0.18215064207712808,0.17068804800510406,0.14960028231143951,0.1580469161272049,0,0.8575911521911621,3.9666078186035154,0,0,0,80,0.12609757979710898,0.12150639295578003,1,0,1
2026-07-06T01:19:04.416565,9,4,soft_center_range_marl,42942.73875353879,1,4,landing,0.928051233291626,0.20601142942905426,0.24605214595794678,0.18043075501918793,0.15005478262901306,0.16242001950740814,0,0.7904528379440308,4.077562103271484,0,0,0,76,0.11694437265396118,0.09796353429555893,1,0,1
2026-07-06T01:19:08.264833,10,4,soft_center_range_marl,938.4908819889988,1,4,landing,1.0590887069702148,0.2914803922176361,0.3326110641161601,0.20690923929214478,0.15300564467906952,0.1534389704465866,0,0.6966248154640198,4.209904918670654,0,0,0,72,0.23390477895736694,0.19259829819202423,1,0,0
2026-07-06T01:19:11.816081,11,4,soft_center_range_marl,-5895.540944018152,1,4,landing,1.1426411867141724,0.3406437337398529,0.3738407890001933,0.21213369071483612,0.15327860414981842,0.19661106169223785,0,0.6399725675582886,4.374480495452881,0,0,0,69,0.2691991130510966,0.2283293604850769,1,0,0
2026-07-06T01:19:16.529359,12,4,soft_center_range_marl,-36970.645374698994,0,2,triangle_to_goal_obstacle,1.2725811004638672,0.47099971771240234,0.4017658233642578,0.02126530557870865,0.14418058097362518,0.1495024710893631,0,0.5853258967399597,4.554636249542236,0,0,0,66,0.38437654574712116,0.3855586349964142,1,0,0
2026-07-06T01:19:20.563053,13,4,soft_center_range_marl,49686.727837091086,1,4,landing,0.8380582332611084,0.15708760917186737,0.19051446517308554,0.1643487960100174,0.14915728569030762,0.15496860444545746,0,0.8660093545913696,3.9705631828308103,0,0,0,85,0.11314759651819865,0.09962671995162964,1,0,1
2026-07-06T01:19:24.170884,14,4,soft_center_range_marl,47418.10745965665,1,4,landing,0.9158464074134827,0.2026805728673935,0.24263006448745728,0.191087543964386,0.14973336458206177,0.14135919511318207,0,0.7867531180381775,4.049520740509033,0,0,0,75,0.07081274191538493,0.063804991543293,1,0,1
2026-07-06T01:19:27.849748,15,4,soft_center_range_marl,-3190.449965405882,1,4,landing,1.056038498878479,0.2900080382823944,0.32392285267512005,0.20325951278209686,0.1533096879720688,0.13692910969257355,0,0.7001546025276184,4.24605728149414,0,0,0,71,0.2567029595375061,0.21622289717197418,1,0,0
2026-07-06T01:19:31.340376,16,4,soft_center_range_marl,-3618.554008520916,1,4,landing,1.1344859600067139,0.3377896249294281,0.3699387311935425,0.20332743227481842,0.15309299528598785,0.15022504329681396,0,0.6323233842849731,4.361460456848144,0,0,0,69,0.26620203256607056,0.22559981048107147,1,0,0
2026-07-06T01:19:36.055448,17,4,soft_center_range_marl,-35000.01033998512,0,2,triangle_to_goal_obstacle,1.2659156322479248,0.467523455619812,0.39989225069681805,0.022500663995742798,0.1412636935710907,0.16580288112163544,0,0.5927172303199768,4.540676364898681,0,0,0,65,0.3834689458211263,0.35935020446777344,1,0,0
2026-07-06T01:19:39.989837,18,4,soft_center_range_marl,49973.96250624546,1,4,landing,0.8373822569847107,0.1509510725736618,0.18510305881500244,0.15809471905231476,0.14811375737190247,0.1710127592086792,0,0.8770480155944824,3.9549553489685056,0,0,0,82,0.11567032337188721,0.09492912143468857,1,0,1
2026-07-06T01:19:43.734449,19,4,soft_center_range_marl,42079.50303058279,1,4,landing,0.9295340180397034,0.21290284395217896,0.2546899716059367,0.19409842789173126,0.15040524303913116,0.13721232116222382,0,0.7605929374694824,4.0940892791748045,0,0,0,78,0.11657023429870605,0.11150012165307999,1,0,1
2026-07-06T01:19:47.266364,20,4,soft_center_range_marl,-3992.769397975852,1,4,landing,1.0862785577774048,0.3082538843154907,0.3390713532765706,0.19982540607452393,0.15371833741664886,0.15610386431217194,0,0.6797292232513428,4.326448211669922,0,0,0,71,0.25638945897420246,0.215282142162323,1,0,0
2026-07-06T01:19:50.780075,21,4,soft_center_range_marl,-11618.354869706782,1,4,landing,1.1644350290298462,0.3581766188144684,0.37111735343933105,0.20798909664154053,0.15367811918258667,0.2008041888475418,0,0.6087371110916138,4.395101795196533,0,0,0,69,0.30921369791030884,0.2721261978149414,1,0,0
2026-07-06T01:19:55.334076,22,4,soft_center_range_marl,-35677.004054158475,0,2,triangle_to_goal_obstacle,1.2735557556152344,0.4678550660610199,0.40000226100285846,0.009049721993505955,0.1417021006345749,0.1560201793909073,0,0.5976014137268066,4.551826248168945,0,0,0,67,0.37097259362538654,0.35601964592933655,1,0,0
2026-07-06T01:19:59.282042,23,4,soft_center_range_marl,49517.93873691069,1,4,landing,0.8373197317123413,0.14854472875595093,0.18424954017003378,0.16904394328594208,0.14892636239528656,0.1733541041612625,0,0.929719090461731,3.8996288871765135,0,0,0,83,0.12512922286987305,0.09118343144655228,1,0,1
