timestamp,episode,stage,stage_name,reward,success,phase,phase_name,center_error,path_center_error,mean_dist_to_target,formation_error,spacing_error,mean_speed,mean_ref_speed,mean_cmd_speed,mean_correction,action_smoothness,collision_count,min_pair_dist,min_obstacle_margin,centroid_obstacle_margin,obstacle_collision_count,episode_obstacle_collision_count,obstacle_near_miss_count,episode_near_miss_count,formation_obstacle_danger,max_spacing_during_danger,max_shape_error_during_danger,obstacle_clear,crashed,progress,formation_safe,centroid_x,centroid_y,centroid_z,effective_target_center_y
2026-06-22T17:36:47.370495,1,1,no_obstacle_bootstrap,12338.11570481642,0,2,triangle_to_goal_obstacle,6.1341471672058105,6.1341471672058105,6.134152889251709,0.04000752791762352,0.027672966321309406,0.45851072669029236,0.27068647742271423,0.2595895230770111,0.30919700860977173,0.05226768180727959,0,1.1839631795883179,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.009539604187011719,1,0.8658728003501892,-0.005811909679323435,1.014675259590149,0.0
2026-06-22T17:36:50.172674,2,1,no_obstacle_bootstrap,12130.063694040937,0,2,triangle_to_goal_obstacle,5.967080116271973,5.967080116271973,5.967102527618408,0.042176101356744766,0.02314281463623047,0.4801015555858612,0.2712102234363556,0.2620254456996918,0.2889639139175415,0.04428483173251152,0,1.1966639757156372,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.009997844696044922,1,1.0329530239105225,-0.01323622465133667,1.0148365497589111,0.0
2026-06-22T17:36:52.670177,3,1,no_obstacle_bootstrap,12095.842666085873,0,2,triangle_to_goal_obstacle,5.859871864318848,5.859871864318848,5.85988187789917,0.05150224640965462,0.043022354443868004,0.5288886427879333,0.2708751857280731,0.2598949670791626,0.2898723781108856,0.04908217862248421,0,1.180884599685669,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.011022567749023438,1,1.1401550769805908,-0.009780089370906353,1.014694094657898,0.0
2026-06-22T17:36:55.309962,4,1,no_obstacle_bootstrap,12004.424680836826,0,2,triangle_to_goal_obstacle,5.773298263549805,5.773298263549805,5.7733025550842285,0.02784430980682373,0.032333175341288246,0.553699791431427,0.27080902457237244,0.26138460636138916,0.28601154685020447,0.034609004855155945,0,1.203658938407898,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.011539459228515625,1,1.2267284393310547,-0.009508986957371235,1.0147570371627808,0.0
2026-06-22T17:36:57.858709,5,1,no_obstacle_bootstrap,12009.301964958811,0,2,triangle_to_goal_obstacle,5.680314064025879,5.680314064025879,5.68032693862915,0.04974875971674919,0.04389746983846029,0.5892078280448914,0.2711559534072876,0.2593931257724762,0.30670204758644104,0.05575915798544884,0,1.1978960037231445,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.012273311614990234,1,1.3197230100631714,-0.014306207187473774,1.0147978067398071,0.0
2026-06-22T17:37:00.480125,6,1,no_obstacle_bootstrap,11965.84859554557,0,2,triangle_to_goal_obstacle,5.610115051269531,5.610115051269531,5.610127925872803,0.04339082911610603,0.036283294359842934,0.5977634787559509,0.27086302638053894,0.25919511914253235,0.324014812707901,0.054486002773046494,0,1.2035330533981323,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.012447357177734375,1,1.3899115324020386,-0.009378056041896343,1.0145899057388306,0.0
2026-06-22T17:37:03.327668,7,1,no_obstacle_bootstrap,11855.828038022953,0,2,triangle_to_goal_obstacle,5.543614864349365,5.543614864349365,5.5436224937438965,0.06982801854610443,0.06615694363911946,0.6258573532104492,0.27073371410369873,0.25937357544898987,0.30804702639579773,0.04501129686832428,0,1.216231107711792,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.013041019439697266,1,1.456408977508545,-0.0072458782233297825,1.0145922899246216,0.0
2026-06-22T17:37:06.233519,8,1,no_obstacle_bootstrap,11887.498862232484,0,2,triangle_to_goal_obstacle,5.50154447555542,5.50154447555542,5.501550197601318,0.048008959740400314,0.047678510348002114,0.6286161541938782,0.2708287239074707,0.2602252662181854,0.3019401729106903,0.06693168729543686,0,1.1972912549972534,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.013087749481201172,1,1.4984840154647827,-0.009979804046452045,1.014746904373169,0.0
2026-06-22T17:37:09.192142,9,1,no_obstacle_bootstrap,11858.226825587924,0,2,triangle_to_goal_obstacle,5.45558500289917,5.45558500289917,5.455594539642334,0.053033653646707535,0.0716162919998169,0.6525002121925354,0.27075377106666565,0.25964614748954773,0.32030177116394043,0.03439251333475113,0,1.2178542613983154,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.013581275939941406,1,1.5444391965866089,-0.0074115595780313015,1.0145806074142456,0.0
2026-06-22T17:37:12.008651,10,1,no_obstacle_bootstrap,11821.181108424427,0,2,triangle_to_goal_obstacle,5.376870155334473,5.376870155334473,5.37687873840332,0.05352070927619934,0.05855270226796468,0.6724656224250793,0.2711257040500641,0.25910237431526184,0.29930946230888367,0.06322582811117172,0,1.1871767044067383,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,0.013987541198730469,1,1.6231712102890015,-0.01518299151211977,1.0146054029464722,0.0
2026-06-22T17:38:19.469601,1,1,no_obstacle_bootstrap,16671.24317364735,1,4,landing,0.5926075577735901,0.5926075577735901,0.5928213000297546,0.04275576397776604,0.0403446356455485,0.1575019210577011,0.11877745389938354,0.11325213313102722,0.244529128074646,0.02864030934870243,0,1.1272073984146118,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.0012110471725463867,1,7.5900139808654785,-0.0034634273033589125,0.135274276137352,0.0
2026-06-22T17:38:26.800066,2,1,no_obstacle_bootstrap,28244.16413820001,1,4,landing,0.8583346009254456,0.8583346009254456,0.8587023615837097,0.1663084179162979,0.20518954594930014,0.1673627346754074,0.15696577727794647,0.15020495653152466,0.2697393596172333,0.03654633089900017,0,0.8447017073631287,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.0015638470649719238,1,7.856530666351318,-0.008605420589447021,0.13494938611984253,0.0
2026-06-22T17:38:34.032154,3,1,no_obstacle_bootstrap,16912.298333274604,1,4,landing,1.0494909286499023,1.0494909286499023,1.0497585535049438,0.2778930366039276,0.32071296374003094,0.16723386943340302,0.18597190082073212,0.1797385811805725,0.24759642779827118,0.051913995295763016,0,0.6720380187034607,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.0016474723815917969,0,8.048047065734863,-0.0018728772411122918,0.1349995881319046,0.0
2026-06-22T17:38:40.896568,4,1,no_obstacle_bootstrap,13792.286616454792,1,4,landing,1.1105247735977173,1.1105247735977173,1.1107391119003296,0.3148145377635956,0.34334226449330646,0.17990465462207794,0.19565217196941376,0.1893988847732544,0.2391791194677353,0.05156369507312775,0,0.6667684316635132,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.0016325712203979492,0,8.109110832214355,-0.007204910274595022,0.13555780053138733,0.0
2026-06-22T17:38:47.533992,5,1,no_obstacle_bootstrap,12109.548105169448,1,4,landing,1.104783058166504,1.104783058166504,1.1052656173706055,0.30411311984062195,0.3408483068148295,0.18101049959659576,0.19417548179626465,0.18726445734500885,0.2592185437679291,0.04190598800778389,0,0.6451658010482788,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.002144455909729004,0,8.103424072265625,-0.00848931074142456,0.1341194063425064,0.0
2026-06-22T17:38:54.317270,6,1,no_obstacle_bootstrap,11791.607478704122,1,4,landing,1.124645471572876,1.124645471572876,1.1248735189437866,0.320169597864151,0.35405882199605304,0.17729485034942627,0.19815045595169067,0.1916133165359497,0.2525518238544464,0.03916889429092407,0,0.6523726582527161,999.0,999.0,0,0,0,0,0,0.0,0.0,1,0,-0.0016437768936157227,0,8.123231887817383,-0.00043523311614990234,0.13636887073516846,0.0
