timestamp,episode,stage,reward,success,centroid_error,mean_dist_to_target,max_dist_to_target,formation_error,spacing_error,pair_distance,mean_speed,mean_ref_speed,mean_cmd_speed,mean_residual,action_smoothness,mean_attitude_error,mean_tracking_error,collision_count,min_pair_dist,crashed,out_of_bounds,unstable_attitude,progress,formation_safe,centroid_x,centroid_y,centroid_z,uav0_x,uav1_x,uav0_y,uav1_y,uav0_z,uav1_z
2026-06-13T14:11:11.754592,1,1,11095.733875380674,1,0.35805585980415344,0.35820746421813965,0.36588412523269653,0.012940699234604836,0.020058524608612016,0.8200585246086121,0.2176547795534134,0.10912711918354034,0.11604508757591248,0.19899232685565948,0.16110463440418243,0.012884238734841347,0.013078933581709862,0,0.8200585246086121,0,0,0,0.004526108503341675,1,1.2429394721984863,-0.009901627898216248,1.024773359298706,1.2510364055633545,1.2348424196243286,-0.4198472797870636,0.4000440239906311,1.026500940322876,1.0230457782745361
2026-06-13T14:11:12.780156,2,1,9941.727290245584,1,0.3550701439380646,0.3551011085510254,0.3612087070941925,0.007699832320213318,0.00885616540908818,0.7911438345909119,0.268779993057251,0.10844261199235916,0.11374235153198242,0.32746511697769165,0.28229695558547974,0.013948002830147743,0.007935859262943268,0,0.7911438345909119,0,0,0,0.0055252015590667725,1,1.2466826438903809,-0.022878497838974,1.0267993211746216,1.2526706457138062,1.2406946420669556,-0.4184008240699768,0.3726438283920288,1.028638243675232,1.0249603986740112
2026-06-13T14:11:13.624497,3,1,8943.967726484987,1,0.3535948693752289,0.3536677360534668,0.3559716045856476,0.007536276709288359,0.013785946369171187,0.7862140536308289,0.32553958892822266,0.10839280486106873,0.11477573215961456,0.27129244804382324,0.1601191908121109,0.01555947307497263,0.0075501007959246635,0,0.7862140536308289,0,0,0,0.0067726075649261475,1,1.2473423480987549,-0.0036094486713409424,1.0254729986190796,1.249716877937317,1.2449676990509033,-0.39670488238334656,0.3894859850406647,1.0273394584655762,1.023606538772583
2026-06-13T14:11:14.363280,4,1,8079.814643035506,1,0.3570776581764221,0.357080340385437,0.35773012042045593,0.0015158464666455984,1.2350082397416529e-05,0.8000123500823975,0.36859166622161865,0.1096203625202179,0.1172025129199028,0.28598925471305847,0.15486596524715424,0.0277494415640831,0.0014025031123310328,0,0.8000123500823975,0,0,0,0.0076659321784973145,1,1.2449102401733398,-0.02826802432537079,1.024831771850586,1.2443556785583496,1.2454646825790405,-0.4282713532447815,0.3717353045940399,1.0262426137924194,1.023421049118042
2026-06-13T14:11:15.060323,5,1,7527.791098342705,1,0.35992634296417236,0.35993528366088867,0.36577850580215454,0.006369033362716436,0.005216491222381547,0.8052164912223816,0.4079713821411133,0.11071640253067017,0.11919555068016052,0.33342617750167847,0.25553423166275024,0.018531542271375656,0.0065312618389725685,0,0.8052164912223816,0,0,0,0.008436918258666992,1,1.2416636943817139,-0.022351741790771484,1.025346279144287,1.2360706329345703,1.2472567558288574,-0.4249177873134613,0.38021430373191833,1.0269887447357178,1.0237038135528564
2026-06-13T14:11:15.852939,6,2,7264.155325396621,1,0.3539647161960602,0.3539864420890808,0.354343980550766,0.00393922533839941,0.0075886368751525435,0.8075886368751526,0.4284534752368927,0.10906414687633514,0.1191527470946312,0.28468436002731323,0.17712484300136566,0.025834795087575912,0.004150291904807091,0,0.8075886368751526,0,0,0,0.008913546800613403,1,1.2474321126937866,-0.0207059383392334,1.023625135421753,1.2480708360671997,1.2467933893203735,-0.42449885606765747,0.3830869793891907,1.0244756937026978,1.0227746963500977
2026-06-13T14:11:17.169296,7,2,10508.308426867521,1,0.3166747987270355,0.31670475006103516,0.3197239637374878,0.005295977927744389,0.008390974998474077,0.8083909749984741,0.26815566420555115,0.11298571527004242,0.12169894576072693,0.14459869265556335,0.2681506872177124,0.014832882210612297,0.004789682105183601,0,0.8083909749984741,0,0,0,0.00554463267326355,1,1.6860723495483398,-0.024540945887565613,1.0336170196533203,1.683575987815857,1.6885685920715332,-0.42872339487075806,0.37964150309562683,1.035696268081665,1.0315378904342651
2026-06-13T14:11:18.111413,8,2,9054.836290093872,1,0.3132998049259186,0.31333309412002563,0.3168044686317444,0.005735316313803196,0.004372191429138139,0.8043721914291382,0.3418459892272949,0.11232027411460876,0.11569073796272278,0.22012370824813843,0.21019139885902405,0.017462261021137238,0.0053677852265536785,0,0.8043721914291382,0,0,0,0.007088512182235718,1,1.6894855499267578,-0.028025031089782715,1.030856728553772,1.6935259103775024,1.6854450702667236,-0.4301759898662567,0.3741259276866913,1.0343124866485596,1.0274009704589844
2026-06-13T14:11:18.959772,9,2,8245.720264268384,1,0.3133876323699951,0.31361067295074463,0.3292113244533539,0.019575992599129677,0.01836783885955806,0.8183678388595581,0.39306825399398804,0.11288778483867645,0.12291961908340454,0.2071932554244995,0.1823691427707672,0.022822503000497818,0.019652454182505608,0,0.8183678388595581,0,0,0,0.00815969705581665,1,1.6891679763793945,-0.02556738257408142,1.0306849479675293,1.706072449684143,1.672263503074646,-0.4343777000904083,0.3832429349422455,1.0351388454437256,1.0262311697006226
2026-06-13T14:11:19.709047,10,2,7481.189448065266,1,0.31837335228919983,0.31843262910842896,0.31875526905059814,0.006157193332910538,0.007380354404449507,0.7926196455955505,0.4683345854282379,0.11500181257724762,0.12427964806556702,0.28639382123947144,0.2266475260257721,0.04125000163912773,0.006067332811653614,0,0.7926196455955505,0,0,0,0.009705394506454468,1,1.6844048500061035,-0.031389087438583374,1.0278569459915161,1.684141755104065,1.6846680641174316,-0.4276685416698456,0.36489036679267883,1.0327558517456055,1.0229580402374268
2026-06-13T14:11:20.446069,11,2,7065.157345796697,1,0.31478238105773926,0.3148258328437805,0.32834169268608093,0.01449262909591198,0.0029579281806946245,0.7970420718193054,0.516525387763977,0.11410562694072723,0.1362820267677307,0.3669389486312866,0.33436888456344604,0.03694473206996918,0.014674695208668709,0,0.7970420718193054,0,0,0,0.010749667882919312,1,1.6869330406188965,-0.016589581966400146,1.0283162593841553,1.700784683227539,1.673081398010254,-0.41485080122947693,0.38167163729667664,1.03220796585083,1.02442467212677
2026-06-13T14:11:21.258632,12,3,6748.741323196802,1,0.30956369638442993,0.30960536003112793,0.3104187846183777,0.005141035653650761,0.003029716014862016,0.8030297160148621,0.536824107170105,0.11243057250976562,0.12975458800792694,0.297248512506485,0.23421414196491241,0.035139232873916626,0.004870993085205555,0,0.8030297160148621,0,0,0,0.011159330606460571,1,1.6922385692596436,-0.015256449580192566,1.0296618938446045,1.691967487335205,1.6925095319747925,-0.41674113273620605,0.3862282335758209,1.034576416015625,1.024747371673584
2026-06-13T14:11:22.328037,13,3,10227.486749100186,1,0.29351896047592163,0.2938174605369568,0.30826908349990845,0.01959865540266037,0.02523880004882817,0.7747611999511719,0.3197080194950104,0.11459027230739594,0.13244178891181946,0.34318411350250244,0.180023655295372,0.007642162963747978,0.019777461886405945,0,0.7747611999511719,0,0,0,0.0065829455852508545,1,2.1094908714294434,-0.02619902789592743,1.0327320098876953,2.123473882675171,2.0955076217651367,-0.4132985472679138,0.36090049147605896,1.0374391078948975,1.0280249118804932
2026-06-13T14:11:23.310001,14,3,8804.227445992541,1,0.29812946915626526,0.29826247692108154,0.3085385859012604,0.013596001081168652,0.012449395656585649,0.8124493956565857,0.41733166575431824,0.1169222742319107,0.12805846333503723,0.21278077363967896,0.20001956820487976,0.03446351736783981,0.013342287391424179,0,0.8124493956565857,0,0,0,0.008614063262939453,1,2.1050591468811035,-0.03049054741859436,1.0310053825378418,2.116511344909668,2.09360671043396,-0.4365326166152954,0.3755515217781067,1.0351513624191284,1.0268594026565552
