timestamp,episode,stage,reward,success,completed_agents,phase_changes,phase_label,mean_phase,centroid_error,formation_error,column_spacing_error,spacing_uav0_uav1,spacing_uav1_uav2,max_agent_formation_error,mean_dist_to_target,max_dist_to_target,mean_speed,max_speed,mean_attitude_error,smoothness_cost,collision_count,min_pair_dist,crashed,landed,centroid_x,centroid_y,centroid_z,uav0_x,uav1_x,uav2_x,uav0_y,uav1_y,uav2_y,uav0_z,uav1_z,uav2_z,wandb_url
2026-05-28T10:51:36.485318,1,1,27655.75556069633,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.12923620641231537,0.0069608003832399845,0.00834926962852478,0.6888677477836609,0.7055662870407104,0.008111907169222832,0.12939493358135223,0.1329222023487091,0.2716846764087677,0.27456170320510864,0.0063543617725372314,0.07210082560777664,0,0.6888677477836609,0,1,2.487596273422241,-0.0027333649341017008,0.21748124063014984,3.1820032596588135,2.4931514263153076,1.7876338958740234,-0.00860830582678318,-0.003937587141990662,0.004345797933638096,0.21755719184875488,0.2172398418188095,0.21764664351940155,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:51:51.679071,2,1,27637.662142517034,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.1417950689792633,0.0024272100999951363,0.0031684935092926025,0.7052229046821594,0.6988859176635742,0.0035579365212470293,0.14180560410022736,0.1445062756538391,0.2743978202342987,0.27556273341178894,0.01558744627982378,0.0704699456691742,0,0.6988859176635742,0,1,2.508618116378784,-0.002184460638090968,0.21924687922000885,3.2117254734039307,2.506507158279419,1.807621717453003,-0.0005329617415554821,-0.0030560954473912716,-0.0029643250163644552,0.2197723239660263,0.2193981409072876,0.21857018768787384,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:52:06.637243,3,1,27711.44669614026,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.1467282474040985,0.0034144229721277952,0.0029694437980651855,0.6940736770629883,0.7000125646591187,0.004712012130767107,0.14675867557525635,0.148428276181221,0.2724066972732544,0.27319929003715515,0.020606886595487595,0.07431647181510925,0,0.6940736770629883,0,1,2.513822078704834,0.0009494101977907121,0.2150896042585373,3.2098703384399414,2.5158002376556396,1.8157953023910522,0.0034848761279135942,0.0012487773783504963,-0.0018854232039302588,0.21548689901828766,0.2153424620628357,0.21443942189216614,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:52:21.341533,4,1,27685.462858362585,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.14910165965557098,0.002952986629679799,0.005206167697906494,0.7054346203804016,0.6950222849845886,0.003795140190050006,0.14912201464176178,0.15069344639778137,0.273444265127182,0.27595627307891846,0.01490822434425354,0.06446648389101028,0,0.6950222849845886,0,1,2.516781806945801,-0.0019935856107622385,0.21517880260944366,3.2187376022338867,2.513314723968506,1.8182928562164307,-0.004538452252745628,-0.0004799824964720756,-0.0009623222285881639,0.21517865359783173,0.21548117697238922,0.21487656235694885,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:52:36.943653,5,1,27684.02438161331,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.15284259617328644,0.007445184048265219,0.0067975521087646484,0.6921576261520386,0.7057527303695679,0.008990321308374405,0.15301573276519775,0.15656505525112152,0.27428004145622253,0.2747670114040375,0.01394180953502655,0.10154669731855392,0,0.6921576261520386,0,1,2.5213162899017334,-0.00027119150036014616,0.2154686450958252,3.2179579734802246,2.5258381366729736,1.8201528787612915,0.007792214397341013,0.0005614121910184622,-0.0091672008857131,0.2158638834953308,0.21565090119838715,0.21489116549491882,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:52:51.397516,6,1,27687.020013575235,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.1535227745771408,0.004550641868263483,0.006688326597213745,0.6950582265853882,0.7084348797798157,0.0049441042356193066,0.15356360375881195,0.1571790724992752,0.272543340921402,0.27450376749038696,0.015348072163760662,0.08581332117319107,0,0.6950582265853882,0,1,2.5224626064300537,0.0030895359814167023,0.21503448486328125,3.221965789794922,2.5269269943237305,1.8184945583343506,0.007155450060963631,0.0019563196692615747,0.00015683862147852778,0.21519507467746735,0.21518763899803162,0.21472075581550598,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:53:06.731784,7,1,27688.82441888267,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.15171633660793304,0.007360741496086121,0.007863628864288374,0.701981782913208,0.7137454748153687,0.011018852703273296,0.15180857479572296,0.1568266898393631,0.27488985657691956,0.2774104177951813,0.012764372862875462,0.0862281322479248,0,0.701981782913208,0,1,2.5197947025299072,-0.00046647945418953896,0.21559609472751617,3.225684404373169,2.52370285987854,1.8099968433380127,0.0020438963547348976,0.002005072543397546,-0.005448407027870417,0.21627578139305115,0.21568997204303741,0.21482253074645996,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:53:21.253961,8,1,27684.56302732742,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.14901864528656006,0.0029336337465792894,0.002560663223266646,0.7037444710731506,0.7013768553733826,0.0036691632121801376,0.14903949201107025,0.15139226615428925,0.27411898970603943,0.27464333176612854,0.014897101558744907,0.07401292026042938,0,0.7013768553733826,0,1,2.516512632369995,-0.007261637598276138,0.21512103080749512,3.2194623947143555,2.5157182216644287,1.8143573999404907,-0.0060800169594585896,-0.005482263397425413,-0.010222633369266987,0.21529774367809296,0.21516890823841095,0.21489644050598145,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:53:36.087437,9,1,27716.724098010134,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.15211163461208344,0.007383724208921194,0.008382022380828857,0.7080703377723694,0.6913062930107117,0.011042369529604912,0.15228606760501862,0.15440361201763153,0.2796297073364258,0.2831960618495941,0.01830742321908474,0.11964651197195053,0,0.6913062930107117,0,1,2.520754337310791,-0.003907443955540657,0.21491803228855133,3.2230911254882812,2.5151655673980713,1.8240065574645996,0.0008763890946283937,-0.013430988416075706,0.000832267221994698,0.21538709104061127,0.21487699449062347,0.21449004113674164,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
2026-05-28T10:53:51.178610,10,2,27714.27085057196,1,3,0,LAND_COLUMN_FORMATION_B,2.0,0.15094240009784698,0.005606086924672127,0.004639673233032271,0.7051016688346863,0.7041776776313782,0.005887010600417852,0.15101300179958344,0.15497754514217377,0.27098318934440613,0.272350937128067,0.012363926507532597,0.08131151646375656,0,0.7041776776313782,0,1,2.5191032886505127,-0.002552086254581809,0.21519048511981964,3.2238407135009766,2.518796682357788,1.8146721124649048,0.0005672016995958984,-0.008430950343608856,0.00020749012765008956,0.21567314863204956,0.21514751017093658,0.21475081145763397,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-5-column-formation-landing/runs/vnwe6kgy
