timestamp,episode,stage,reward,success,completed_agents,phase_changes,phase_label,mean_phase,centroid_error,formation_error,triangle_spacing_error,spacing_uav0_uav1,spacing_uav0_uav2,spacing_uav1_uav2,max_agent_formation_error,min_obstacle_distance,mean_obstacle_distance,obstacle_collision_count,obstacle_proximity_penalty,mean_dist_to_target,max_dist_to_target,mean_speed,max_speed,mean_attitude_error,smoothness_cost,collision_count,min_pair_dist,crashed,landed,centroid_x,centroid_y,centroid_z,uav0_x,uav1_x,uav2_x,uav0_y,uav1_y,uav2_y,uav0_z,uav1_z,uav2_z,wandb_url
2026-05-31T19:47:42.572120,1,1,8056.435872329208,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.12282863259315491,0.00639118067920208,0.007218658924102783,0.7461130619049072,0.7444194555282593,0.7621884942054749,0.009549790993332863,0.2999620735645294,0.7460412383079529,1,0.09002277255058289,0.12295576930046082,0.1264670044183731,0.37662962079048157,0.3875168263912201,0.02629253827035427,0.08583042770624161,0,0.7444194555282593,1,0,1.4084669351577759,0.01587066985666752,1.008042812347412,1.8354169130325317,1.1980092525482178,1.1919746398925781,0.020354218780994415,-0.3674522340297699,0.3947100341320038,1.0076584815979004,1.0091807842254639,1.007289171218872,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:47:51.019327,2,1,7598.297877754788,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.0793563649058342,0.008849320001900196,0.009697258472442627,0.7577179074287415,0.7483645081520081,0.7697383761405945,0.012912973761558533,0.29972153902053833,0.7363384366035461,1,0.09016716480255127,0.07988747209310532,0.08184254914522171,0.3938209116458893,0.39940282702445984,0.011344361118972301,0.10585876554250717,0,0.7483645081520081,1,0,1.3632005453109741,0.0187594685703516,1.0068811178207397,1.7946715354919434,1.1472152471542358,1.1477147340774536,0.02457822486758232,-0.36901894211769104,0.40071913599967957,1.00420343875885,1.0084580183029175,1.0079820156097412,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:47:59.229375,3,1,7298.226078403724,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.060405489057302475,0.010838133282959461,0.012713412443796793,0.757653534412384,0.7505397200584412,0.7799469828605652,0.015685491263866425,0.29828670620918274,0.7302877306938171,1,0.09103092551231384,0.06169165298342705,0.0640614703297615,0.38789233565330505,0.40267452597618103,0.01647508144378662,0.13840891420841217,0,0.7505397200584412,1,0,1.3311156034469604,0.020573556423187256,1.006807804107666,1.7614071369171143,1.1122652292251587,1.1196744441986084,0.02107415348291397,-0.36963197588920593,0.4102784991264343,1.0052876472473145,1.0068436861038208,1.0082920789718628,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:07.354731,4,1,7262.431323217354,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.04967378452420235,0.015109460800886154,0.02019272247950236,0.7753384709358215,0.7427051663398743,0.7779448628425598,0.022536247968673706,0.29980024695396423,0.7302495837211609,1,0.09011990576982498,0.05218120291829109,0.05377211049199104,0.3578373193740845,0.38650986552238464,0.01572430320084095,0.07199379056692123,0,0.7427051663398743,1,0,1.3364596366882324,0.02298334240913391,1.0065945386886597,1.7709237337112427,1.1117236614227295,1.126731276512146,0.03583110496401787,-0.37234050035476685,0.4054594337940216,1.0058012008666992,1.0067825317382812,1.0071998834609985,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:15.577025,5,1,7278.699619903895,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.04765875265002251,0.01530135702341795,0.016034146149953205,0.7704604864120483,0.7481471300125122,0.7757890820503235,0.021464375779032707,0.2975809872150421,0.7282581329345703,1,0.09145727008581161,0.04984145238995552,0.056520480662584305,0.3785344362258911,0.4020669162273407,0.021270601078867912,0.1328233927488327,0,0.7481471300125122,1,0,1.350236415863037,0.028773000463843346,1.0074089765548706,1.7851252555847168,1.135103702545166,1.130480408668518,0.04592679440975189,-0.36769095063209534,0.4080831706523895,1.0060961246490479,1.0073928833007812,1.0087379217147827,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:23.636863,6,1,7116.010686746111,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.042075835168361664,0.013014852069318295,0.01622307300567627,0.7610294222831726,0.7437074780464172,0.7813472747802734,0.018926983699202538,0.29745742678642273,0.7257512211799622,1,0.09153202176094055,0.044193822890520096,0.047655753791332245,0.3567661941051483,0.37563079595565796,0.018883757293224335,0.11909977346658707,0,0.7437074780464172,1,0,1.3251386880874634,0.02551296353340149,1.0084973573684692,1.7537970542907715,1.1056510210037231,1.1159683465957642,0.030973447486758232,-0.36785683035850525,0.41342228651046753,1.00666081905365,1.0092989206314087,1.0095324516296387,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:31.123641,7,1,7162.562628332548,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.041336432099342346,0.011791693978011608,0.014515856901804606,0.7601412534713745,0.7480376362800598,0.7814439535140991,0.01754443533718586,0.2987070381641388,0.7306354641914368,1,0.09077746421098709,0.043441057205200195,0.04673493653535843,0.36272260546684265,0.38641417026519775,0.012028459459543228,0.14117379486560822,0,0.7480376362800598,1,0,1.329641342163086,0.020063400268554688,1.0074777603149414,1.7596341371536255,1.1095856428146362,1.119704246520996,0.022282883524894714,-0.37173551321029663,0.4096428155899048,1.0066099166870117,1.0076874494552612,1.0081357955932617,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:39.315044,8,1,7132.332523419895,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.04026954993605614,0.011897892691195011,0.015275677045186361,0.7592864036560059,0.739958643913269,0.7764992713928223,0.01658816449344158,0.29850754141807556,0.7263963222503662,1,0.09089771658182144,0.042227018624544144,0.04463142156600952,0.3514096736907959,0.369759738445282,0.018935726955533028,0.14713990688323975,0,0.739958643913269,1,0,1.3258761167526245,0.023647069931030273,1.007897973060608,1.7533979415893555,1.1047751903533936,1.119455099105835,0.028001990169286728,-0.3667096793651581,0.4096488952636719,1.0067001581192017,1.0093528032302856,1.0076408386230469,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:47.797195,9,1,7123.170537913356,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.044530585408210754,0.014912811107933521,0.018904229005177815,0.7664056420326233,0.7437930107116699,0.7841000556945801,0.022183850407600403,0.29951658844947815,0.7271065711975098,1,0.09029029309749603,0.04718594625592232,0.049572937190532684,0.3565860688686371,0.3663976490497589,0.01396370679140091,0.19521434605121613,0,0.7437930107116699,1,0,1.3207911252975464,0.023894399404525757,1.0080301761627197,1.7509922981262207,1.1006367206573486,1.1107441186904907,0.03286328911781311,-0.3726058304309845,0.41142573952674866,1.0066826343536377,1.0098456144332886,1.0075623989105225,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
2026-05-31T19:48:56.350997,10,1,7251.5879363987715,0,0,0,MOVE_TRIANGLE_OBSTACLE,1.0,0.037641413509845734,0.009757031686604023,0.012429654598236084,0.7594106793403625,0.758010983467102,0.7698673009872437,0.012166102416813374,0.2988220155239105,0.734730064868927,1,0.09070819616317749,0.03846631571650505,0.04678298905491829,0.36702024936676025,0.3914130926132202,0.013111851178109646,0.13608627021312714,0,0.758010983467102,1,0,1.3577560186386108,0.021482298150658607,1.0084071159362793,1.7936075925827026,1.142815113067627,1.1368451118469238,0.025779299437999725,-0.36558687686920166,0.4042544662952423,1.0074372291564941,1.0099387168884277,1.0078455209732056,https://wandb.ai/ememchijioke-university-of-klagenfurt/marl-uav-v0-7-compact-triangle-obstacle/runs/moznk78x
