timestamp,episode,stage,stage_name,reward,success,phase,phase_name,center_error,mean_dist_to_target,formation_error,spacing_error,mean_speed,mean_ref_speed,mean_cmd_speed,mean_correction,action_smoothness,collision_count,min_pair_dist,min_obstacle_margin,mean_obstacle_margin,obstacle_collision_count,obstacle_near_miss_count,obstacle_clear,crashed,progress,formation_safe,centroid_x,centroid_y,centroid_z
2026-06-21T14:39:52.038663,1,1,no_obstacle_bootstrap,-21067.577794960762,0,2,triangle_to_goal_obstacle,6.091858386993408,6.091861248016357,6.091861248016357,0.018279155095418293,0.4715799391269684,0.28062281012535095,0.26689159870147705,0.3046629726886749,0.07032468169927597,0,1.173391580581665,999.0,999.0,0,0,1,0,0.0,0,0.9081630706787109,-0.012719114311039448,1.0099682807922363
2026-06-21T14:39:53.835419,2,1,no_obstacle_bootstrap,-22039.320908281526,0,2,triangle_to_goal_obstacle,5.908856391906738,5.908860683441162,5.908860683441162,0.029912710189819336,0.5134156346321106,0.2804950177669525,0.27181991934776306,0.19352222979068756,0.06903602927923203,0,1.2163159847259521,999.0,999.0,0,0,1,0,0.0,0,1.0911593437194824,-0.0003621776995714754,1.0135459899902344
2026-06-21T14:39:55.620063,3,1,no_obstacle_bootstrap,-21527.54711609382,0,2,triangle_to_goal_obstacle,5.803003787994385,5.803005218505859,5.803005218505859,0.027884443600972492,0.5470591187477112,0.2805327773094177,0.2689487636089325,0.251903235912323,0.08199704438447952,0,1.1613975763320923,999.0,999.0,0,0,1,0,0.0,0,1.1970149278640747,-0.004804233554750681,1.0138086080551147
2026-06-21T14:39:57.449561,4,1,no_obstacle_bootstrap,-21410.092543176084,0,2,triangle_to_goal_obstacle,5.72183895111084,5.7218403816223145,5.7218403816223145,0.013895869255065918,0.5528769493103027,0.28048548102378845,0.2698432505130768,0.23031215369701385,0.03775550052523613,0,1.1984055042266846,999.0,999.0,0,0,1,0,0.0,0,1.278178095817566,-0.00222025322727859,1.0137319564819336
2026-06-21T14:39:59.207340,5,1,no_obstacle_bootstrap,-21289.08751420841,0,2,triangle_to_goal_obstacle,5.640361309051514,5.64036226272583,5.64036226272583,0.016596277554829914,0.6154463291168213,0.2804785966873169,0.2698027193546295,0.23668070137500763,0.07194503396749496,0,1.2059460878372192,999.0,999.0,0,0,1,0,0.0,0,1.3596558570861816,0.003930211067199707,1.0132108926773071
2026-06-21T14:40:01.099968,6,1,no_obstacle_bootstrap,-21231.127818998175,0,2,triangle_to_goal_obstacle,5.574031352996826,5.57403564453125,5.57403564453125,0.02511008580525716,0.6126244068145752,0.28050264716148376,0.2704322636127472,0.2071031779050827,0.04173371195793152,0,1.2042772769927979,999.0,999.0,0,0,1,0,0.0,0,1.4259856939315796,-0.002976278541609645,1.013586401939392
2026-06-21T14:40:02.937269,7,1,no_obstacle_bootstrap,-21191.275100439456,0,2,triangle_to_goal_obstacle,5.505077362060547,5.505079746246338,5.505079746246338,0.02506367365519206,0.6499817967414856,0.2804683446884155,0.2708210349082947,0.20494697988033295,0.04224346950650215,0,1.1691251993179321,999.0,999.0,0,0,1,0,0.0,0,1.4949389696121216,-1.2656052604143042e-05,1.0134023427963257
2026-06-21T14:40:04.823192,8,1,no_obstacle_bootstrap,-21112.573632017135,0,2,triangle_to_goal_obstacle,5.4445881843566895,5.444589138031006,5.444589138031006,0.014589627583821615,0.6674199104309082,0.28043949604034424,0.2710869312286377,0.18660520017147064,0.0468345545232296,0,1.2027380466461182,999.0,999.0,0,0,1,0,0.0,0,1.555428147315979,0.0024458367843180895,1.0131020545959473
2026-06-21T14:40:06.658408,9,1,no_obstacle_bootstrap,-21084.584821051674,0,2,triangle_to_goal_obstacle,5.393787860870361,5.393788814544678,5.393788814544678,0.011995712916056315,0.6839715838432312,0.2804478704929352,0.27150285243988037,0.18857800960540771,0.03466653451323509,0,1.1778068542480469,999.0,999.0,0,0,1,0,0.0,0,1.6062287092208862,-0.0019415417918935418,1.013299584388733
2026-06-21T14:40:08.471561,10,1,no_obstacle_bootstrap,-20818.87211509375,0,2,triangle_to_goal_obstacle,5.38297700881958,5.382985591888428,5.382985591888428,0.029121915499369305,0.687522828578949,0.2805163562297821,0.27068018913269043,0.20319683849811554,0.03254028037190437,0,1.2143288850784302,999.0,999.0,0,0,1,0,0.0,0,1.6170393228530884,-0.0031899213790893555,1.01278555393219
2026-06-21T14:41:05.457370,1,1,no_obstacle_bootstrap,-78528.01586996768,1,4,landing,0.5930839776992798,0.5931611657142639,0.5931611657142639,0.017348845799763996,0.14028243720531464,0.11861563473939896,0.12084127217531204,0.16401450335979462,0.03437952324748039,0,1.1691313982009888,999.0,999.0,0,0,1,0,-0.0005183219909667969,0,7.590311527252197,-0.0017613967647776008,0.13725191354751587
2026-06-21T14:41:10.968514,2,1,no_obstacle_bootstrap,-55728.96884362608,1,4,landing,0.833365261554718,0.8336107134819031,0.8336107134819031,0.207752525806427,0.16687528789043427,0.15147815644741058,0.15467192232608795,0.16089020669460297,0.04267098382115364,0,0.8937196135520935,999.0,999.0,0,0,1,0,-0.0014823079109191895,0,7.831445217132568,-0.005933701992034912,0.1362256407737732
2026-06-21T14:41:15.752469,3,1,no_obstacle_bootstrap,-51633.25085949847,1,4,landing,1.0495527982711792,1.0497277975082397,1.0497277975082397,0.31132898728052777,0.17432212829589844,0.18246817588806152,0.18526585400104523,0.1389545351266861,0.050558317452669144,0,0.7409845590591431,999.0,999.0,0,0,1,0,-0.001745462417602539,0,8.048150062561035,-0.005374530795961618,0.1339782327413559
2026-06-21T14:41:20.321496,4,1,no_obstacle_bootstrap,-49369.89860311695,1,4,landing,1.1006035804748535,1.1007665395736694,1.1007665395736694,0.33623725175857544,0.17306621372699738,0.19076550006866455,0.19363518059253693,0.14669069647789001,0.03994743153452873,0,0.6917097568511963,999.0,999.0,0,0,1,0,-0.0017143487930297852,0,8.099213600158691,-0.002380847930908203,0.13524535298347473
2026-06-21T14:41:24.863727,5,1,no_obstacle_bootstrap,-47803.806896348804,1,4,landing,1.0906093120574951,1.0907684564590454,1.0907684564590454,0.33316834767659503,0.1696450263261795,0.188690185546875,0.19124431908130646,0.1288648098707199,0.039624255150556564,0,0.7040677666664124,999.0,999.0,0,0,1,0,-0.001653909683227539,0,8.089271545410156,-0.00022898118186276406,0.1340014487504959
2026-06-21T14:41:29.372795,6,1,no_obstacle_bootstrap,-47825.90989049645,1,4,landing,1.077698826789856,1.0779086351394653,1.0779086351394653,0.32203898827234906,0.17582757771015167,0.18738007545471191,0.1903882622718811,0.1454894244670868,0.048695553094148636,0,0.6954101324081421,999.0,999.0,0,0,1,0,-0.001734614372253418,0,8.076264381408691,-0.0046056113205850124,0.1353934407234192
2026-06-21T14:41:33.987790,7,1,no_obstacle_bootstrap,-47474.164134631086,1,4,landing,1.1005266904830933,1.1006957292556763,1.1006957292556763,0.340678612391154,0.1809384822845459,0.1906602531671524,0.19363008439540863,0.15214410424232483,0.01867230050265789,0,0.692646861076355,999.0,999.0,0,0,1,0,-0.0019621849060058594,0,8.09913158416748,-0.006057302001863718,0.13506481051445007
2026-06-21T14:41:38.879390,8,1,no_obstacle_bootstrap,-47324.541384166994,1,4,landing,1.082174301147461,1.0823487043380737,1.0823487043380737,0.3257407347361247,0.1767759472131729,0.18752998113632202,0.19027352333068848,0.12900470197200775,0.04155280068516731,0,0.7119168043136597,999.0,999.0,0,0,1,0,-0.0017470121383666992,0,8.08080768585205,-0.004431684967130423,0.13418680429458618
2026-06-21T14:41:43.488268,9,1,no_obstacle_bootstrap,-47199.46967792193,1,4,landing,1.0875331163406372,1.0877100229263306,1.0877100229263306,0.33269453048706055,0.17536582052707672,0.18918867409229279,0.19204767048358917,0.1612888127565384,0.06319832056760788,0,0.6975557804107666,999.0,999.0,0,0,1,0,-0.0017278194427490234,0,8.086040496826172,-0.010210156440734863,0.13603556156158447
