timestamp,episode,stage,reward,success,phase,phase_id,stable_counter,move_progress,dist_to_target,altitude,xy_error,speed,attitude_error,crashed,landed_successfully,pos_x,pos_y,pos_z,wandb_url
2026-05-08T08:09:07.669314,1,1,4413.412098144206,1,LAND_B,4,0,1.0,0.11022575944662094,0.17857642471790314,0.07730112224817276,0.2711063623428345,0.012764669954776764,0,1,2.077249526977539,-0.0028237670194357634,0.17857642471790314,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:12.202226,2,1,4458.295867356057,1,LAND_B,4,0,1.0,0.12068845331668854,0.1785093992948532,0.09166230261325836,0.26540306210517883,0.015596023760735989,0,1,2.0912084579467773,-0.009110146202147007,0.1785093992948532,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:17.025786,3,1,4357.438965200224,1,LAND_B,4,0,1.0,0.13606829941272736,0.17896093428134918,0.11081404983997345,0.2695661783218384,0.019326668232679367,0,1,2.1106386184692383,0.006233001593500376,0.17896093428134918,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:20.555852,4,1,4118.422815557246,1,LAND_B,4,0,1.0,0.13625580072402954,0.17866083979606628,0.11125698685646057,0.2673551142215729,0.007213418371975422,0,1,2.111178398132324,0.004180998541414738,0.17866083979606628,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:24.350784,5,1,4061.61951285755,1,LAND_B,4,0,1.0,0.1342761367559433,0.17896293103694916,0.10860449820756912,0.27204540371894836,0.011719238013029099,0,1,2.108260154724121,-0.008641534484922886,0.17896293103694916,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:29.087596,6,1,4018.395968460233,1,LAND_B,4,0,1.0,0.14481204748153687,0.1793537139892578,0.12113428860902786,0.27038976550102234,0.02194211073219776,0,1,2.1208934783935547,-0.007634268142282963,0.1793537139892578,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:33.475756,7,1,4042.437645964018,1,LAND_B,4,0,1.0,0.13428965210914612,0.17928360402584076,0.10838736593723297,0.26891857385635376,0.02460203319787979,0,1,2.1082942485809326,0.004491765983402729,0.17928360402584076,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:39.070415,8,1,3902.8802998493866,1,LAND_B,4,0,1.0,0.14519771933555603,0.17881223559379578,0.12194674462080002,0.2717578113079071,0.01337906438857317,0,1,2.121943950653076,0.0008257674053311348,0.17881223559379578,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:43.672491,9,1,4319.066091842276,1,LAND_B,4,0,1.0,0.14020925760269165,0.17846469581127167,0.11619778722524643,0.26696258783340454,0.007043573074042797,0,1,2.1157915592193604,-0.009707827121019363,0.17846469581127167,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:47.945027,10,1,4289.815550693025,1,LAND_B,4,0,1.0,0.14684531092643738,0.17855660617351532,0.12406613677740097,0.2694753110408783,0.009646745398640633,0,1,2.123812675476074,-0.007926426827907562,0.17855660617351532,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:51.692902,11,1,4431.340249664094,1,LAND_B,4,0,1.0,0.13878773152828217,0.17837689816951752,0.11453861743211746,0.26964500546455383,0.01105237565934658,0,1,2.1145360469818115,-0.0007671257480978966,0.17837689816951752,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:09:56.217252,12,2,4242.101619678816,1,LAND_B,4,0,1.0,0.1450086236000061,0.179294154047966,0.12140814960002899,0.2662927210330963,0.016148444265127182,0,1,2.1211657524108887,0.0076680430211126804,0.179294154047966,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:10:00.969957,13,2,4249.641678028553,1,LAND_B,4,0,1.0,0.10469760000705719,0.17938373982906342,0.06826280057430267,0.2695271074771881,0.02560502476990223,0,1,2.067988872528076,0.006109227892011404,0.17938373982906342,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:10:05.039940,14,2,4287.633662226248,1,LAND_B,4,0,1.0,0.13007503747940063,0.17887629568576813,0.10343135893344879,0.27198106050491333,0.016391180455684662,0,1,2.1033222675323486,-0.004749298561364412,0.17887629568576813,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
2026-05-08T08:10:09.102590,15,2,4266.886709580269,1,LAND_B,4,0,1.0,0.13933242857456207,0.1754055619239807,0.11716452986001968,0.2572582960128784,0.01894126832485199,0,1,2.117164373397827,-0.00018952942627947778,0.1754055619239807,https://wandb.ai/ememchijioke-university-of-klagenfurt/single-uav-rl-baseline/runs/sjth3aqr
