timestamp,episode,stage,reward,success,phase,phase_name,center_error,mean_dist_to_target,formation_error,spacing_error,mean_speed,mean_ref_speed,mean_cmd_speed,mean_correction,action_smoothness,collision_count,min_pair_dist,min_obstacle_margin,mean_obstacle_margin,obstacle_collision_count,obstacle_near_miss_count,obstacle_clear,crashed,progress,formation_safe,centroid_x,centroid_y,centroid_z
2026-06-21T13:28:57.002449,1,1,-11087.29152731314,0,2,triangle_to_goal_obstacle,6.511480331420898,6.5114827156066895,6.5114827156066895,0.021703084309895832,0.35998043417930603,0.22017478942871094,0.2255944460630417,0.16963152587413788,0.04379026219248772,0,1.2105883359909058,2.0197450828552244,2.7674551518758137,0,0,1,0,0.0,0,0.48852407932281494,0.005741477012634277,1.0048161745071411
2026-06-21T13:28:59.815650,2,1,-12158.57260675505,0,2,triangle_to_goal_obstacle,6.4132161140441895,6.413219928741455,6.413219928741455,0.006016929944356282,0.38309037685394287,0.22050486505031586,0.2245117425918579,0.25259020924568176,0.025713473558425903,0,1.1829805374145508,1.9375836563110351,2.6687047990163166,0,0,1,0,0.0,0,0.5867998003959656,-0.01369669009000063,1.0037587881088257
2026-06-21T13:29:02.695672,3,1,-11837.235394012168,0,2,triangle_to_goal_obstacle,6.369935035705566,6.36993932723999,6.36993932723999,0.014196832974751791,0.39994099736213684,0.22018027305603027,0.22523075342178345,0.2729963958263397,0.0439433753490448,0,1.1719213724136353,1.9045703125,2.6262093893686926,0,0,1,0,0.0,0,0.6300689578056335,-0.005977710243314505,1.0039347410202026
2026-06-21T13:29:05.684381,4,1,-12082.659107728578,0,2,triangle_to_goal_obstacle,6.327671527862549,6.327677249908447,6.327677249908447,0.04238414764404297,0.42116236686706543,0.22035197913646698,0.2248164266347885,0.2557933032512665,0.041551295667886734,0,1.2067397832870483,1.8101639461517334,2.5853138478597004,0,0,1,0,0.0,0,0.6723373532295227,-0.010258913040161133,1.0036988258361816
2026-06-21T13:29:08.624246,5,1,-11819.58158758594,0,2,triangle_to_goal_obstacle,6.295616149902344,6.295617580413818,6.295617580413818,0.02956072489420573,0.42314910888671875,0.22026754915714264,0.22551177442073822,0.25083041191101074,0.03144730255007744,0,1.1954866647720337,1.7897383880615234,2.552950433095296,0,0,1,0,0.0,0,0.7043924331665039,-0.009625613689422607,1.0037213563919067
2026-06-21T13:29:42.291353,1,1,-9594.455483963584,0,2,triangle_to_goal_obstacle,6.565930366516113,6.565931797027588,6.565931797027588,0.012953440348307291,0.3357405960559845,0.22012799978256226,0.2194422483444214,0.26724907755851746,0.06255332380533218,0,1.1935230493545532,2.0812730503082273,2.820361744562785,0,0,1,0,0.0,0,0.4340731203556061,0.0066829524002969265,0.99852055311203
2026-06-21T13:29:45.476430,2,1,-10693.896741080967,0,2,triangle_to_goal_obstacle,6.485614776611328,6.485616683959961,6.485616683959961,0.0060129960378011065,0.37772050499916077,0.22007732093334198,0.22219233214855194,0.3894011080265045,0.0308882687240839,0,1.1943947076797485,2.010908336639404,2.7413857491811116,0,0,1,0,0.0,0,0.514386773109436,0.0015074411639943719,0.9961333274841309
2026-06-21T13:30:20.505448,1,1,-222090.4393872911,0,2,triangle_to_goal_obstacle,1.0617494583129883,1.961685299873352,1.961685299873352,2.013551950454712,0.015436182729899883,0.16717441380023956,0.12589727342128754,0.21720516681671143,0.04844576120376587,0,1.2115275859832764,0.062273354530334446,2.4181870730717976,0,1,0,0,-0.00010216236114501953,0,5.938257217407227,0.0027179718017578125,1.0025914907455444
2026-06-21T13:30:30.905685,2,1,-219107.61032803907,0,2,triangle_to_goal_obstacle,1.0409269332885742,1.9823659658432007,1.9823659658432007,2.031111240386963,0.01644214801490307,0.18577732145786285,0.1446947157382965,0.18954910337924957,0.042264435440301895,0,1.2041373252868652,0.06198650717735288,2.4382162106037137,0,1,0,0,-0.000247955322265625,0,5.9591064453125,-0.0064005255699157715,1.0053571462631226
2026-06-21T13:30:41.140305,3,1,-224514.85796479182,0,2,triangle_to_goal_obstacle,1.0284236669540405,1.9942718744277954,1.9942718744277954,2.044635017712911,0.023394159972667694,0.19655673205852509,0.15708571672439575,0.18718712031841278,0.038507577031850815,0,1.1875804662704468,0.06116226434707639,2.449161123434702,0,1,0,0,-0.00018310546875,0,5.971603870391846,-0.00260847806930542,1.0070700645446777
